Unnamed: 0,periodo,estu_tipodocumento,cole_area_ubicacion,cole_bilingue,cole_calendario,cole_caracter,cole_jornada,cole_mcpio_ubicacion,cole_naturaleza,estu_genero,fami_educacionmadre,fami_educacionpadre,fami_estratovivienda,fami_personashogar,fami_tieneautomovil,fami_tienecomputador,fami_tieneinternet,fami_tienelavadora,punt_ingles,punt_matematicas,punt_sociales_ciudadanas,punt_c_naturales,punt_lectura_critica,punt_global
191,20224,1,2,2,1,1,1,3,1,1,3,2,2,1,0,0,1,1,2,2,2,2,2,3
192,20224,1,2,2,1,1,1,12,1,2,1,2,3,2,0,0,1,0,2,2,2,2,2,3
193,20224,1,2,2,1,2,6,22,1,2,2,3,2,3,0,1,1,1,2,2,2,2,3,3
194,20224,1,1,2,1,1,1,10,1,2,2,8,2,1,0,1,1,1,2,1,2,2,2,2
195,20224,1,2,2,1,2,1,3,1,2,7,4,1,2,0,1,1,1,2,2,2,2,2,3
196,20224,1,2,2,1,1,6,17,1,2,3,10,1,3,0,0,0,1,2,2,2,2,2,3
197,20224,1,1,2,1,1,2,15,1,1,5,2,5,4,0,0,0,0,2,3,3,3,3,3
198,20224,1,2,2,1,2,6,22,1,2,1,7,1,5,0,0,0,1,2,2,2,2,2,3
199,20224,1,2,2,1,3,2,19,2,1,9,1,2,2,0,1,1,1,4,3,3,3,3,4
200,20224,1,2,2,1,1,6,1,1,1,3,5,1,3,0,0,0,1,2,2,2,2,2,3
201,20224,4,1,2,1,1,1,14,1,1,4,5,4,4,0,0,1,1,2,2,1,2,2,2
202,20224,1,1,2,1,1,2,10,1,2,2,3,1,3,0,0,1,1,2,2,1,2,2,3
203,20224,1,2,2,1,1,2,3,1,2,5,2,2,2,1,1,1,1,2,2,2,2,3,3
204,20224,1,1,2,1,1,1,10,1,2,3,3,5,3,0,0,0,1,2,1,1,2,3,2
205,20224,1,2,2,1,3,2,3,1,1,1,1,3,3,1,0,1,1,2,1,2,2,2,2
206,20224,1,2,2,1,3,1,3,1,1,5,2,1,4,0,0,1,1,2,2,2,2,3,3
207,20224,2,2,2,1,3,2,3,1,2,1,2,1,2,0,0,1,1,2,1,1,2,1,2
208,20224,1,2,2,1,3,2,19,1,2,2,5,2,2,0,0,0,0,2,2,2,2,2,2
209,20224,1,2,2,1,3,2,9,2,2,7,1,1,3,0,1,1,1,3,2,2,3,3,3
210,20224,1,2,2,1,1,2,8,1,2,5,2,7,2,0,0,1,0,2,3,2,2,2,3
211,20224,2,2,2,1,1,6,17,1,2,3,4,7,2,0,0,0,1,1,1,2,2,2,2
212,20224,2,2,2,1,3,3,19,1,2,2,2,2,4,0,0,0,1,2,2,2,2,2,3
213,20224,2,1,2,1,1,1,10,1,2,2,2,3,4,0,0,0,1,2,1,1,2,2,2
214,20224,1,2,2,1,1,2,3,1,1,2,4,1,2,0,0,1,1,3,3,2,2,3,3
215,20224,1,1,2,1,1,2,15,1,1,2,2,7,3,0,0,0,1,2,2,2,3,3,3
216,20224,1,1,2,1,2,2,6,1,2,10,3,1,3,0,0,0,1,2,2,2,2,2,3
217,20224,1,1,2,1,3,2,2,1,2,5,11,1,1,0,0,0,0,2,2,3,3,3,3
218,20224,1,1,2,1,2,6,14,1,1,2,1,3,3,0,1,1,1,1,2,2,2,2,2
219,20224,1,1,2,1,3,2,10,2,1,11,7,2,3,0,1,1,1,2,2,2,2,2,3
