id	periodo	estu_tipodocumento	cole_area_ubicacion	cole_bilingue	cole_calendario	cole_caracter	cole_jornada	cole_mcpio_ubicacion	cole_naturaleza	estu_genero	fami_educacionmadre	fami_educacionpadre	fami_estratovivienda	fami_personashogar	fami_tieneautomovil	fami_tienecomputador	fami_tieneinternet	fami_tienelavadora	punt_ingles	punt_matematicas	punt_sociales_ciudadanas	punt_c_naturales	punt_lectura_critica	punt_global
89	2022	1	2	2	1	3	4	3	2	2	1	1	6	4	1	1	1	1	4	4	4	4	4	4
90	2022	1	2	2	1	2	1	3	1	2	7	5	1	4	0	1	1	1	1	2	3	3	3	3
91	2022	2	2	2	1	1	3	9	1	1	1	10	3	3	0	0	1	1	3	1	1	1	1	1
92	2022	1	2	2	1	3	4	3	2	1	7	8	3	2	0	1	1	1	3	1	1	2	2	1
93	2022	1	1	2	1	1	2	3	1	2	3	1	1	2	0	0	0	0	4	3	1	2	2	2
94	2022	1	2	2	1	3	1	3	1	1	1	2	2	2	1	0	1	1	2	2	2	2	1	2
95	2022	1	1	2	1	3	6	3	1	1	6	5	2	2	0	0	1	1	3	4	3	4	4	4
96	2022	2	2	2	1	1	6	12	1	2	5	4	1	1	0	0	0	1	3	3	3	3	2	3
97	2022	1	2	2	1	1	1	13	1	1	2	2	4	2	0	0	1	1	1	2	1	1	1	1
98	2022	1	2	2	1	2	2	3	1	2	1	7	4	2	0	0	1	1	4	1	1	1	3	1
99	2022	1	1	2	1	1	2	20	1	2	2	2	1	3	0	0	0	1	2	1	2	2	1	1
100	2022	1	2	2	1	3	1	3	1	1	6	5	1	3	0	0	0	1	4	3	4	4	4	4
101	2022	1	1	2	1	1	2	27	1	1	3	5	2	3	0	0	0	1	3	4	3	4	2	3
102	2022	2	1	2	1	1	2	15	1	2	4	10	5	2	1	1	1	0	1	1	1	1	1	1
103	2022	1	2	2	1	1	1	3	1	1	2	3	2	2	0	1	1	0	4	2	4	3	3	3
104	2022	1	2	2	1	1	2	3	1	2	10	10	6	3	0	1	1	1	1	2	2	1	1	1
105	2022	1	2	2	1	1	1	3	1	2	3	5	1	2	0	0	1	1	3	3	4	4	4	4
106	2022	2	2	2	1	3	5	13	2	2	10	3	3	3	1	0	0	1	2	1	2	1	1	1
107	2022	5	2	2	1	3	2	19	2	1	2	1	3	2	0	0	1	1	4	4	4	4	4	4
108	2022	1	2	2	1	2	6	3	1	1	1	2	1	3	0	0	1	1	1	2	1	2	1	1
109	2022	1	2	2	1	1	1	4	1	2	2	2	1	2	0	0	1	0	2	1	1	2	1	1
110	2022	1	2	2	1	3	1	3	1	1	2	5	2	2	1	1	1	1	4	4	4	4	3	4
111	2022	1	1	2	1	2	6	10	1	1	2	2	7	3	0	0	0	1	2	2	2	3	1	2
112	2022	6	1	2	1	3	2	3	1	2	5	4	4	4	0	0	0	1	4	4	3	3	4	4
