ID;periodo;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;estu_genero;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;punt_ingles;punt_matematicas;punt_sociales_ciudadanas;punt_c_naturales;punt_lectura_critica;punt_global
70;20224;1;2;2;1;3;2;3;1;1;3;5;2;5;0;0;1;1;2;2;1;2;2;2
71;20224;1;2;2;1;2;2;3;1;2;2;2;1;2;0;0;0;1;2;2;2;2;2;3
72;20224;1;2;2;1;1;1;3;1;2;6;1;3;3;0;1;1;1;3;3;3;3;3;3
73;20224;1;2;2;1;1;1;3;1;2;7;7;2;2;0;1;1;1;3;3;3;3;3;4
74;20224;2;2;2;1;1;6;24;1;2;4;3;2;4;0;0;0;1;2;1;2;2;2;2
75;20224;2;2;2;1;3;2;3;1;1;2;6;3;2;1;1;1;1;2;2;2;2;2;2
76;20224;1;2;2;1;3;4;3;2;1;1;1;3;2;1;1;1;1;2;2;3;2;3;3
77;20224;1;2;2;1;1;6;9;1;1;2;2;1;3;0;1;1;1;2;2;2;2;2;2
78;20224;1;2;2;1;1;2;9;1;2;5;2;1;3;0;0;1;1;2;3;2;2;2;3
79;20224;1;2;2;1;3;2;3;2;1;1;1;2;2;1;1;1;1;3;4;3;3;3;4
80;20224;2;2;2;1;1;3;3;1;2;3;3;1;3;0;0;1;0;2;2;2;2;2;2
81;20224;1;2;2;1;1;2;12;1;1;2;2;7;2;1;0;0;1;1;2;2;2;2;2
82;20224;1;1;0;1;1;6;3;1;2;2;0;1;4;0;0;0;1;2;2;2;2;2;2
83;20224;1;2;2;1;1;1;3;1;1;2;2;1;3;0;0;1;1;3;3;3;3;3;3
84;20224;1;2;2;1;2;6;25;1;1;2;4;1;2;0;0;1;1;2;2;2;2;2;3
85;20224;1;1;2;1;1;6;16;1;2;7;3;3;1;1;1;1;1;3;3;3;3;3;4
86;20224;1;2;2;1;1;6;9;1;1;5;4;1;3;0;1;1;1;2;3;3;3;3;3
87;20224;1;2;2;1;3;2;3;2;2;7;7;4;2;1;1;1;1;4;3;3;3;3;4
88;20224;1;2;2;1;3;1;3;1;2;2;2;1;2;0;1;1;1;2;3;2;2;3;3
89;20224;1;2;2;1;1;6;5;1;1;3;3;1;4;0;0;0;1;2;2;2;2;2;2
90;20224;1;2;2;1;1;6;13;1;1;2;5;1;3;0;0;1;1;3;3;2;3;3;3
91;20224;1;2;0;1;1;6;12;1;2;5;3;1;3;0;0;1;1;1;2;1;2;2;2
92;20224;1;2;2;1;3;2;3;2;2;1;8;3;2;0;1;1;1;3;2;2;3;3;3
93;20224;2;2;0;1;0;2;3;2;1;7;2;7;2;1;1;1;1;2;2;2;2;2;2
94;20224;1;2;2;1;1;6;3;1;2;0;0;0;2;0;1;3;1;3;3;3;3;3;3
95;20224;1;2;2;1;3;2;3;2;1;2;2;3;3;0;0;1;1;2;2;2;2;3;3
96;20224;2;2;2;1;3;1;19;1;2;0;0;0;0;3;3;3;3;2;1;2;2;2;2
97;20224;1;1;0;1;1;1;13;1;1;3;3;7;5;0;0;0;1;2;2;2;2;2;2
98;20224;1;2;2;1;1;6;24;1;2;1;1;1;2;0;1;1;1;2;1;2;2;2;2
99;20224;1;1;2;1;1;2;13;1;1;5;10;1;3;0;0;0;1;2;1;2;2;2;2
100;20224;1;2;0;1;3;1;3;1;2;0;0;0;3;0;1;3;1;3;3;2;3;3;3
101;20224;1;2;2;1;1;2;12;1;2;2;3;7;2;0;0;1;1;2;2;2;2;3;3
102;20224;1;1;2;1;1;2;1;1;2;5;4;7;3;0;0;0;1;2;2;2;2;2;2
103;20224;1;2;2;1;1;6;9;1;2;11;8;2;2;0;1;1;1;2;2;2;3;3;3
104;20224;1;2;2;1;3;2;3;2;2;1;1;3;2;1;1;1;1;3;3;3;3;3;4
105;20224;1;1;2;1;1;1;10;1;2;3;2;7;1;0;0;0;1;2;2;2;2;2;3
106;20224;1;1;2;1;1;1;3;1;1;2;2;2;3;0;1;1;1;2;3;2;2;3;3
107;20224;1;2;2;1;1;2;7;1;1;5;2;2;3;0;0;0;1;2;2;1;2;2;2
108;20224;2;2;2;1;2;3;3;1;2;0;0;0;0;3;3;3;3;2;2;1;2;2;2
109;20224;1;1;2;1;1;1;10;1;1;0;0;0;1;0;1;3;1;2;2;2;2;2;3
110;20224;1;2;2;1;1;6;11;1;2;1;7;3;3;0;0;1;1;2;3;2;2;2;3
111;20224;1;2;2;1;3;2;3;2;1;7;5;1;2;0;0;1;1;2;3;3;3;3;3
112;20224;2;1;0;1;1;2;6;1;2;4;5;1;3;0;0;0;1;2;2;1;2;2;3
113;20224;1;2;2;1;1;6;18;1;1;2;2;3;2;0;0;0;1;2;1;1;2;2;2
114;20224;1;2;2;1;3;6;3;1;2;0;0;0;2;0;1;3;1;2;1;1;2;2;2
